Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,Salary
2024,NL Central,83,79,2,4.54,162,6116,5441,736,1318,253,29,170,696,143,30,546,1362,0.242,0.317,0.393,0.71,76,91,0.987,27.8,"230,067,975"
2023,NL Central,83,79,2,5.06,162,6220,5504,819,1399,269,30,196,786,140,34,570,1391,0.254,0.33,0.421,0.751,92,137,0.984,28.4,"188,909,358"
2022,NL Central,74,88,3,4.06,162,6072,5425,657,1293,265,31,159,620,111,37,507,1448,0.238,0.311,0.387,0.698,96,139,0.984,27.9,"151,054,737"
2021,NL Central,71,91,4,4.35,162,5972,5306,705,1255,225,26,210,672,86,37,502,1596,0.237,0.312,0.407,0.719,87,149,0.985,29.1,"144,037,170"
2020,NL Central,34,26,1,4.42,60,2214,1918,265,422,82,8,74,248,24,10,229,568,0.22,0.318,0.387,0.705,30,46,0.986,27.9,"86,596,171"
2019,NL Central,84,78,3,5.02,162,6195,5461,814,1378,270,26,256,783,45,24,581,1460,0.252,0.331,0.452,0.783,118,141,0.981,27.7,"221,580,085"
2018,NL Central,95,68,2,4.67,163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,0.258,0.333,0.41,0.744,104,155,0.983,27.2,"194,259,933"
2017,NL Central,92,70,1,5.07,162,6283,5496,822,1402,274,29,223,785,62,31,622,1401,0.255,0.338,0.437,0.775,95,139,0.984,27.1,"172,092,536"
2016,NL Central,103,58,1,4.99,162,6335,5503,808,1409,293,30,199,767,66,34,656,1339,0.256,0.343,0.429,0.772,101,116,0.983,27.4,"184,352,494"
2015,NL Central,97,65,3,4.25,162,6200,5491,689,1341,272,30,171,657,95,37,567,1518,0.244,0.321,0.398,0.719,111,120,0.982,26.9,"132,993,810"
2014,NL Central,73,89,5,3.79,162,6102,5508,614,1315,270,31,157,590,65,40,442,1477,0.239,0.3,0.385,0.684,103,137,0.983,26.8,"89,539,741"
2013,NL Central,66,96,5,3.72,162,6079,5498,602,1307,297,18,172,576,63,32,439,1230,0.238,0.3,0.392,0.693,100,129,0.983,27.9,"103,152,899"
2012,NL Central,61,101,5,3.78,162,5967,5411,613,1297,265,36,137,570,94,45,447,1235,0.24,0.302,0.378,0.68,105,148,0.982,27.8,"115,861,526"
2011,NL Central,71,91,5,4.04,162,6130,5549,654,1423,285,36,148,610,69,23,425,1202,0.256,0.314,0.401,0.715,134,128,0.978,29.3,"137,666,584"
2010,NL Central,75,87,5,4.23,162,6140,5512,685,1414,298,27,149,658,55,31,479,1236,0.257,0.32,0.401,0.721,126,137,0.979,29.4,"146,859,000"
2009,NL Central,83,78,2,4.39,161,6244,5486,707,1398,293,29,161,678,56,34,592,1185,0.255,0.332,0.407,0.738,105,144,0.983,29.9,"135,050,000"
2008,NL Central,97,64,1,5.31,161,6384,5588,855,1552,329,21,184,811,87,34,636,1186,0.278,0.354,0.443,0.797,99,118,0.983,30.1,"118,345,833"
2007,NL Central,85,77,1,4.64,162,6268,5643,752,1530,340,28,151,711,86,33,500,1054,0.271,0.333,0.422,0.754,94,134,0.984,29.3,"99,670,332"
2006,NL Central,66,96,6,4.42,162,6147,5587,716,1496,271,46,166,677,121,49,395,928,0.268,0.319,0.422,0.741,106,122,0.982,28.6,"94,424,499"
2005,NL Central,79,83,4,4.34,162,6161,5584,703,1506,323,23,194,674,65,39,419,920,0.27,0.324,0.44,0.764,101,136,0.983,29.7,"87,210,933"
2004,NL Central,89,73,3,4.87,162,6281,5628,789,1508,308,29,235,755,66,28,489,1080,0.268,0.328,0.458,0.786,86,126,0.986,30.1,"91,101,667"
2003,NL Central,88,74,1,4.47,162,6187,5519,724,1431,302,24,172,691,73,31,492,1158,0.259,0.323,0.416,0.739,106,157,0.983,31.3,"79,868,333"
2002,NL Central,67,95,5,4.36,162,6242,5496,706,1351,259,29,200,676,63,21,585,1269,0.246,0.321,0.413,0.734,114,144,0.981,30.2,"75,690,833"
