Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,Salary
2024,NL West,98,64,1,5.2,162,6255,5522,842,1423,291,26,233,815,136,23,602,1336,0.258,0.335,0.446,0.781,88,119,0.985,30.3,"241,010,117"
2023,NL West,100,62,1,5.59,162,6333,5524,906,1422,303,20,249,877,105,25,644,1359,0.257,0.34,0.455,0.795,76,139,0.987,30.9,"240,278,296"
2022,NL West,111,51,1,5.23,162,6247,5526,847,1418,325,31,212,812,98,18,607,1374,0.257,0.333,0.442,0.775,83,120,0.986,29.6,"270,381,426"
2021,NL West,106,56,2,5.12,162,6239,5445,830,1330,247,24,237,799,65,17,613,1408,0.244,0.33,0.429,0.759,89,94,0.985,29.2,"265,343,390"
2020,NL West,43,17,1,5.82,60,2316,2042,349,523,97,6,118,327,29,8,228,471,0.256,0.338,0.483,0.821,40,46,0.982,28,"124,917,397"
2019,NL West,106,56,1,5.47,162,6282,5493,886,1414,302,20,279,861,57,10,607,1356,0.257,0.338,0.472,0.81,106,117,0.982,27.9,"207,000,814"
2018,NL West,92,71,1,4.93,163,6358,5572,804,1394,296,33,235,756,75,24,647,1436,0.25,0.333,0.442,0.774,100,111,0.983,28.1,"199,582,045"
2017,NL West,104,58,1,4.75,162,6191,5408,770,1347,312,20,221,730,77,28,649,1380,0.249,0.334,0.437,0.771,88,131,0.985,27.9,"259,366,393"
2016,NL West,91,71,1,4.48,162,6164,5518,725,1376,272,21,189,680,45,26,525,1321,0.249,0.319,0.409,0.728,80,101,0.986,28.9,"266,745,494"
2015,NL West,92,70,1,4.12,162,6090,5385,667,1346,263,26,187,638,59,34,563,1258,0.25,0.326,0.413,0.739,75,133,0.988,29.5,"301,735,080"
2014,NL West,94,68,1,4.43,162,6231,5560,718,1476,302,38,134,686,138,50,519,1246,0.265,0.333,0.406,0.738,107,145,0.983,29.3,"242,257,818"
2013,NL West,92,70,1,4.01,162,6145,5491,649,1447,281,17,138,618,78,28,476,1146,0.264,0.326,0.396,0.722,109,160,0.982,30.6,"236,694,375"
2012,NL West,86,76,2,3.93,162,6091,5438,637,1369,269,23,116,607,104,44,481,1156,0.252,0.317,0.374,0.69,98,138,0.984,30.4,"117,202,717"
2011,NL West,82,79,3,4,161,6094,5436,644,1395,237,28,117,613,126,40,498,1087,0.257,0.322,0.375,0.697,85,121,0.986,29.8,"115,174,517"
2010,NL West,80,82,4,4.12,162,6140,5426,667,1368,270,29,120,621,92,50,533,1184,0.252,0.322,0.379,0.7,98,124,0.984,30.3,"94,945,517"
2009,NL West,95,67,1,4.81,162,6385,5592,780,1511,278,39,145,739,116,48,607,1068,0.27,0.346,0.412,0.758,83,134,0.986,29.7,"100,458,101"
2008,NL West,84,78,1,4.32,162,6194,5506,700,1455,271,29,137,659,126,43,543,1032,0.264,0.333,0.399,0.732,101,138,0.984,28.5,"118,588,536"
2007,NL West,82,80,4,4.54,162,6282,5614,735,1544,276,35,129,706,137,50,511,864,0.275,0.337,0.406,0.743,114,160,0.981,29.7,"108,454,524"
2006,NL West,88,74,2,5.06,162,6394,5628,820,1552,307,58,153,787,128,49,601,959,0.276,0.348,0.432,0.781,115,174,0.982,29.9,"98,447,187"
2005,NL West,71,91,4,4.23,162,6134,5433,685,1374,284,21,149,653,58,35,541,1094,0.253,0.326,0.395,0.721,106,141,0.983,28.7,"81,029,500"
2004,NL West,93,69,1,4.7,162,6244,5542,761,1450,226,30,203,731,102,41,536,1092,0.262,0.332,0.423,0.755,73,145,0.988,28.9,"89,694,342"
2003,NL West,85,77,2,3.54,162,6036,5458,574,1328,260,25,124,544,80,36,407,985,0.243,0.303,0.368,0.671,119,164,0.981,29.9,"105,872,620"
2002,NL West,92,70,3,4.4,162,6146,5554,713,1464,286,29,155,693,96,37,428,940,0.264,0.32,0.409,0.729,90,134,0.985,30,"94,850,952"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
