Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,Salary
2024,AL Central,41,121,5,3.13,162,5869,5383,507,1187,226,9,133,485,90,33,395,1403,0.221,0.278,0.34,0.618,90,115,0.984,27.8,"133, 797,547"
2023,AL Central,61,101,4,3.96,162,5980,5501,641,1308,264,13,171,617,86,22,377,1424,0.238,0.291,0.384,0.675,95,117,0.983,27.9,"162,863,836"
2022,AL Central,81,81,2,4.23,162,6123,5611,686,1435,272,9,149,654,58,10,388,1269,0.256,0.31,0.387,0.698,102,122,0.982,29.3,"203,205,326"
2021,AL Central,93,69,1,4.91,162,6084,5357,796,1373,275,22,190,757,57,20,586,1389,0.256,0.336,0.422,0.758,97,112,0.982,28.1,"140,926,169"
2020,AL Central,35,25,3,5.1,60,2267,2047,306,534,94,6,96,294,20,8,179,571,0.261,0.326,0.453,0.779,38,48,0.982,27.7,"53,665,251"
2019,AL Central,72,89,3,4.4,161,6042,5529,708,1443,260,20,182,676,63,28,378,1549,0.261,0.314,0.414,0.728,117,171,0.98,27.6,"91,371,201"
2018,AL Central,62,100,4,4.05,162,6071,5523,656,1332,259,40,182,639,98,41,425,1594,0.241,0.302,0.401,0.703,114,135,0.981,26.5,"71,839,808"
2017,AL Central,67,95,4,4.36,162,6059,5513,706,1412,256,37,186,670,71,31,401,1397,0.256,0.314,0.417,0.731,114,157,0.981,26.7,"85,495,238"
2016,AL Central,78,84,4,4.23,162,6131,5550,686,1428,277,33,168,656,77,36,455,1285,0.257,0.317,0.41,0.727,95,148,0.984,28.3,"129,715,686"
2015,AL Central,76,86,4,3.84,162,6070,5533,622,1381,260,27,136,595,68,42,404,1231,0.25,0.306,0.38,0.686,101,159,0.983,28.2,"118,875,487"
2014,AL Central,73,89,4,4.07,162,6077,5543,660,1400,279,32,155,625,85,36,417,1362,0.253,0.31,0.398,0.708,107,170,0.982,27.7,"89,297,302"
2013,AL Central,63,99,5,3.69,162,6077,5563,598,1385,237,19,148,574,105,42,411,1207,0.249,0.302,0.378,0.68,121,155,0.98,29.2,"111,777,595"
2012,AL Central,85,77,2,4.62,162,6111,5518,748,1409,228,29,211,726,109,43,461,1203,0.255,0.318,0.422,0.74,70,154,0.988,30,"108,841,055"
2011,AL Central,79,83,3,4.04,162,6159,5502,654,1387,252,16,154,625,81,53,475,989,0.252,0.319,0.388,0.706,79,129,0.987,30,"127,263,027"
2010,AL Central,88,74,2,4.64,162,6118,5484,752,1467,263,21,177,710,160,74,467,922,0.268,0.332,0.42,0.752,103,158,0.983,30.7,"129,285,539"
2009,AL Central,79,83,3,4.47,162,6132,5463,724,1410,246,20,184,695,113,49,534,1022,0.258,0.329,0.411,0.74,113,158,0.981,29.8,"108,273,197"
2008,AL Central,89,74,1,4.98,163,6231,5553,811,1458,296,13,235,785,67,34,540,1016,0.263,0.332,0.448,0.78,108,155,0.983,30.6,"96,068,500"
2007,AL Central,72,90,4,4.28,162,6103,5441,693,1341,249,20,190,667,78,45,532,1149,0.246,0.318,0.404,0.722,108,168,0.982,29.8,"108,671,833"
2006,AL Central,90,72,3,5.36,162,6318,5657,868,1586,291,20,236,839,93,48,502,1056,0.28,0.342,0.464,0.806,90,145,0.985,29.8,"102,750,667"
2005,AL Central,99,63,1,4.57,162,6146,5529,741,1450,253,23,200,713,137,67,435,1002,0.262,0.322,0.425,0.747,94,166,0.985,29.3,"75,228,000"
2004,AL Central,83,79,2,5.34,162,6197,5534,865,1481,284,19,242,823,78,51,499,1030,0.268,0.333,0.457,0.79,100,167,0.984,28.6,"65,212,500"
2003,AL Central,86,76,2,4.88,162,6148,5487,791,1445,303,19,220,766,77,29,519,916,0.263,0.331,0.446,0.777,93,154,0.984,29.4,"51,010,000"
2002,AL Central,81,81,2,5.28,162,6208,5502,856,1475,289,29,217,819,75,31,555,952,0.268,0.338,0.449,0.787,97,157,0.984,28.9,"57,052,833"
