Year,Team,Wins,Losses,Runs_Per_Game,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,HR,RBI,SB,Caught_Stealing,Walks,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging,Errors,Double_Plays,Fielding_Percentage,Salary
2024,Yankees,94,68,5.03,6245,5450,815,1352,243,15,237,782,88,26,672,1326,0.248,0.333,0.429,0.761,93,112,0.984,293666666
2023,Yankees,82,80,4.15,5973,5323,673,1207,221,15,219,650,100,30,557,1427,0.227,0.304,0.397,0.701,96,113,0.984,208570714
2022,Yankees,99,63,4.98,6172,5422,807,1308,225,8,254,764,102,33,620,1391,0.241,0.325,0.426,0.751,74,102,0.987,224540714
2021,Yankees,92,70,4.39,6060,5331,711,1266,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,98,115,0.983,191205631
2019,Yankees,103,59,5.82,6245,5583,943,1493,290,17,306,904,55,22,569,1437,0.267,0.339,0.49,0.829,102,135,0.982,223019037
2018,Yankees,100,62,5.25,6271,5515,851,1374,269,23,267,821,63,21,625,1421,0.249,0.329,0.451,0.781,94,95,0.984,180098151
2017,Yankees,91,71,5.3,6354,5594,858,1463,266,23,241,821,90,22,616,1386,0.262,0.339,0.447,0.785,95,102,0.984,209044502
2016,Yankees,84,78,4.2,6059,5458,680,1378,245,20,183,647,72,22,475,1188,0.252,0.315,0.405,0.72,86,116,0.985,220743376
2015,Yankees,87,75,4.72,6268,5567,764,1397,272,19,212,737,63,25,554,1227,0.251,0.323,0.421,0.744,93,135,0.985,221242659
2014,Yankees,84,78,3.91,6082,5497,633,1349,247,26,147,591,112,26,452,1133,0.245,0.307,0.38,0.687,92,107,0.984,212512317
2013,Yankees,85,77,4.01,6045,5449,650,1321,247,24,144,614,115,31,466,1214,0.242,0.307,0.376,0.683,69,139,0.988,234518126
2012,Yankees,95,67,4.96,6231,5524,804,1462,280,13,245,774,93,27,565,1176,0.265,0.337,0.453,0.79,75,135,0.987,225589742
2011,Yankees,97,65,5.35,6306,5518,867,1452,267,33,222,836,147,46,627,1138,0.263,0.343,0.444,0.788,102,141,0.983,210950685
2010,Yankees,95,67,5.3,6379,5567,859,1485,275,32,201,823,103,30,662,1136,0.267,0.35,0.436,0.786,69,161,0.988,206333389
2009,Yankees,103,59,5.65,6449,5660,915,1604,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,86,131,0.985,201449289
2008,Yankees,89,73,4.87,6257,5572,789,1512,289,20,180,758,118,39,535,1015,0.271,0.342,0.427,0.769,83,141,0.986,209081577
2007,Yankees,94,68,5.98,6528,5717,968,1656,326,32,201,929,123,40,637,991,0.29,0.366,0.463,0.829,88,174,0.985,189639045
2006,Yankees,97,65,5.74,6455,5651,930,1608,327,21,210,902,139,35,649,1053,0.285,0.363,0.461,0.824,104,145,0.983,194663079
2005,Yankees,95,67,5.47,6406,5624,886,1552,259,16,229,847,84,27,637,989,0.276,0.355,0.45,0.805,95,151,0.984,205938439
2004,Yankees,101,61,5.54,6364,5527,897,1483,281,20,242,863,84,33,670,982,0.268,0.353,0.458,0.811,99,148,0.984,182835513
2003,Yankees,101,61,5.38,6431,5605,877,1518,304,14,230,845,98,33,684,1042,0.271,0.356,0.453,0.81,114,126,0.981,152749814
2002,Yankees,103,58,5.57,6377,5601,897,1540,314,12,223,857,100,38,640,1171,0.275,0.354,0.455,0.809,127,117,0.979,125928583
2024,Mets,89,73,4.74,6166,5510,768,1357,279,15,207,735,106,22,514,1382,0.246,0.319,0.415,0.734,94,127,0.984,317778899
2023,Mets,75,87,4.43,6056,5363,717,1276,221,21,215,692,118,15,525,1331,0.238,0.316,0.407,0.723,88,142,0.985,343605067
2022,Mets,101,61,4.77,6176,5489,772,1422,272,27,171,735,62,22,510,1217,0.259,0.332,0.412,0.744,67,128,0.988,268292506
2021,Mets,77,85,3.93,5856,5210,636,1243,228,18,176,604,54,26,495,1392,0.239,0.315,0.391,0.705,95,121,0.983,201189189
2019,Mets,86,76,4.88,6290,5624,791,1445,280,17,242,767,56,27,516,1384,0.257,0.328,0.442,0.77,99,129,0.983,146835812
2018,Mets,77,85,4.17,6177,5468,676,1282,265,34,170,649,71,39,566,1404,0.234,0.312,0.389,0.701,88,121,0.985,150187987
2017,Mets,70,92,4.54,6169,5510,735,1379,286,28,224,713,58,23,529,1291,0.25,0.32,0.434,0.755,92,125,0.984,143990158
2016,Mets,87,75,4.14,6115,5459,671,1342,240,19,218,649,42,18,517,1302,0.246,0.316,0.417,0.733,90,138,0.985,147738514
2015,Mets,90,72,4.22,6145,5527,683,1351,295,17,177,654,51,25,488,1290,0.244,0.312,0.4,0.712,88,131,0.986,115698927
