Year,Lg,W,L,Finish,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,Fld%,BatAge,Salary
2024,AL East,94,68,1,5.03,162,6245,5450,815,1352,243,15,237,782,88,26,672,1326,0.248,0.333,0.429,0.761,93,112,0.984,28,"293,666,666"
2023,AL East,82,80,4,4.15,162,5973,5323,673,1207,221,15,219,650,100,30,557,1427,0.227,0.304,0.397,0.701,96,113,0.984,28.5,"208,570,714"
2022,AL East,99,63,1,4.98,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,0.241,0.325,0.426,0.751,74,102,0.987,30.3,"224,540,714"
2021,AL East,92,70,2,4.39,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,98,115,0.983,29.3,"191,205,631"
2020,AL East,33,27,2,5.25,60,2210,1915,315,473,87,7,94,301,27,7,251,480,0.247,0.342,0.447,0.789,48,37,0.976,28.5,"110,852,878"
2019,AL East,103,59,1,5.82,162,6245,5583,943,1493,290,17,306,904,55,22,569,1437,0.267,0.339,0.49,0.829,102,135,0.982,28.3,"223,019,037"
2018,AL East,100,62,2,5.25,162,6271,5515,851,1374,269,23,267,821,63,21,625,1421,0.249,0.329,0.451,0.781,94,95,0.984,27.2,"180,098,151"
2017,AL East,91,71,2,5.3,162,6354,5594,858,1463,266,23,241,821,90,22,616,1386,0.262,0.339,0.447,0.785,95,102,0.984,28.6,"209,044,502"
2016,AL East,84,78,4,4.2,162,6059,5458,680,1378,245,20,183,647,72,22,475,1188,0.252,0.315,0.405,0.72,86,116,0.985,30.1,"220,743,376"
2015,AL East,87,75,2,4.72,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,0.251,0.323,0.421,0.744,93,135,0.985,31.4,"221,242,659"
2014,AL East,84,78,2,3.91,162,6082,5497,633,1349,247,26,147,591,112,26,452,1133,0.245,0.307,0.38,0.687,92,107,0.984,32.8,"212,512,317"
2013,AL East,85,77,3,4.01,162,6045,5449,650,1321,247,24,144,614,115,31,466,1214,0.242,0.307,0.376,0.683,69,139,0.988,31.9,"234,518,126"
2012,AL East,95,67,1,4.96,162,6231,5524,804,1462,280,13,245,774,93,27,565,1176,0.265,0.337,0.453,0.79,75,135,0.987,32.9,"225,589,742"
2011,AL East,97,65,1,5.35,162,6306,5518,867,1452,267,33,222,836,147,46,627,1138,0.263,0.343,0.444,0.788,102,141,0.983,30.6,"210,950,685"
2010,AL East,95,67,2,5.3,162,6379,5567,859,1485,275,32,201,823,103,30,662,1136,0.267,0.35,0.436,0.786,69,161,0.988,30.4,"206,333,389"
2009,AL East,103,59,1,5.65,162,6449,5660,915,1604,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,86,131,0.985,30.7,"201,449,289"
2008,AL East,89,73,3,4.87,162,6257,5572,789,1512,289,20,180,758,118,39,535,1015,0.271,0.342,0.427,0.769,83,141,0.986,31.4,"209,081,577"
2007,AL East,94,68,2,5.98,162,6528,5717,968,1656,326,32,201,929,123,40,637,991,0.29,0.366,0.463,0.829,88,174,0.985,30.8,"189,639,045"
2006,AL East,97,65,1,5.74,162,6455,5651,930,1608,327,21,210,902,139,35,649,1053,0.285,0.363,0.461,0.824,104,145,0.983,30.9,"194,663,079"
2005,AL East,95,67,1,5.47,162,6406,5624,886,1552,259,16,229,847,84,27,637,989,0.276,0.355,0.45,0.805,95,151,0.984,32.4,"205,938,439"
2004,AL East,101,61,1,5.54,162,6364,5527,897,1483,281,20,242,863,84,33,670,982,0.268,0.353,0.458,0.811,99,148,0.984,32.3,"182,835,513"
2003,AL East,101,61,1,5.38,163,6431,5605,877,1518,304,14,230,845,98,33,684,1042,0.271,0.356,0.453,0.81,114,126,0.981,30.4,"152,749,814"
2002,AL East,103,58,1,5.57,161,6377,5601,897,1540,314,12,223,857,100,38,640,1171,0.275,0.354,0.455,0.809,127,117,0.979,30,"125,928,583"
